step,x,y,yaw,e_y,e_yaw,t,delta,v_ref
138,89550,43244.3,2.18456,-2.37186e-09,-2.40549e-09,0,3.56886e-09,10
139,89549.4,43245.1,2.18456,-4.77516e-09,-1.34501e-11,0,4.78408e-09,10
140,89548.8,43245.9,2.18456,-4.78821e-09,1.90468e-09,0,3.83627e-09,10
141,89548.2,43246.8,2.18456,-2.87949e-09,2.67716e-09,0,1.54494e-09,10
142,89547.7,43247.6,2.18456,-2.03627e-10,2.22266e-09,0,-9.08996e-10,10
143,89547.1,43248.4,2.18456,2.02397e-09,9.70514e-10,0,-2.50429e-09,10
144,89546.5,43249.2,2.18456,2.99208e-09,-4.21381e-10,0,-2.78379e-09,10
145,89545.9,43250,2.18456,2.56715e-09,-1.36539e-09,0,-1.88801e-09,10
146,89545.4,43250.8,2.18456,1.20164e-09,-1.57301e-09,0,-4.15256e-10,10
147,89544.8,43251.7,2.18456,-3.77867e-10,-1.10986e-09,0,9.26303e-10,10
148,89544.2,43252.5,2.18456,-1.49304e-09,-2.92798e-10,0,1.63413e-09,10
149,89543.6,43253.3,2.18456,-1.78859e-09,4.80095e-10,0,1.54579e-09,10
150,89543.1,43254.1,2.18456,-1.3051e-09,9.07475e-10,0,8.5476e-10,10
151,89542.5,43254.9,2.18456,-3.93612e-10,8.85028e-10,0,-4.48928e-11,10
152,89541.9,43255.7,2.18456,4.97579e-10,5.11456e-10,0,-7.47144e-10,10
153,89541.3,43256.6,2.18456,1.01325e-09,5.55112e-12,0,-1.01181e-09,10
154,89540.8,43257.4,2.18456,1.0163e-09,-4.03079e-10,0,-8.1726e-10,10
155,89540.2,43258.2,2.18456,6.11649e-10,-5.67753e-10,0,-3.29348e-10,10
156,89539.6,43259,2.18456,4.54605e-11,-4.71761e-10,0,1.91984e-10,10
157,89539,43259.8,2.18456,-4.31911e-10,-2.06889e-10,0,5.29745e-10,10
158,89538.5,43260.7,2.18456,-6.42842e-10,9.00089e-11,0,5.93795e-10,10
159,89537.9,43261.5,2.18456,-5.50983e-10,2.93141e-10,0,4.06263e-10,10
160,89537.3,43262.3,2.18456,-2.61196e-10,3.37649e-10,0,8.90179e-11,10
161,89536.7,43263.1,2.18456,8.10303e-11,2.39538e-10,0,-1.96223e-10,10
162,89536.2,43263.9,2.18456,3.18352e-10,6.34031e-11,0,-3.5227e-10,10
163,89535.6,43264.7,2.18456,3.78051e-10,-1.01979e-10,0,-3.30765e-10,10
164,89535,43265.6,2.18456,2.76202e-10,-1.92012e-10,0,-1.80066e-10,10
165,89534.4,43266.4,2.18456,8.55493e-11,-1.87286e-10,0,9.45288e-12,10
166,89533.9,43267.2,2.18456,-1.05103e-10,-1.09134e-10,0,1.56303e-10,10
167,89533.3,43268,2.18456,-2.11145e-10,-1.61204e-12,0,2.15044e-10,10
168,89532.7,43268.8,2.18456,-2.0809e-10,8.3813e-11,0,1.7085e-10,10
169,89532.1,43269.6,2.18456,-1.20394e-10,1.16761e-10,0,6.58961e-11,10
170,89531.5,43270.5,2.18456,-8.25651e-12,9.48619e-11,0,-4.37975e-11,10
171,89531,43271.3,2.18456,8.36309e-11,4.12474e-11,0,-1.07229e-10,10
172,89530.4,43272.1,2.18456,1.23052e-10,-1.69535e-11,0,-1.16402e-10,10
173,89529.8,43272.9,2.18456,1.05828e-10,-5.60023e-11,0,-7.80972e-11,10
174,89529.2,43273.7,2.18456,5.22391e-11,-6.47322e-11,0,-1.74598e-11,10
175,89528.7,43274.5,2.18456,-1.32303e-11,-4.67884e-11,0,3.58874e-11,10
176,89528.1,43275.4,2.18456,-6.26414e-11,-1.3423e-11,0,6.67303e-11,10
177,89527.5,43276.2,2.18456,-7.56586e-11,1.96874e-11,0,6.62208e-11,10
178,89526.9,43277,2.18456,-5.65166e-11,3.81384e-11,0,3.6902e-11,10
179,89526.4,43277.8,2.18456,-1.70957e-11,3.78622e-11,0,-5.52802e-13,10
180,89525.8,43278.6,2.18456,2.23253e-11,2.19833e-11,0,-3.17581e-11,10
181,89525.2,43279.5,2.18456,4.56595e-11,-1.36779e-13,0,-4.42402e-11,10
182,89524.6,43280.3,2.18456,4.87148e-11,-1.83187e-11,0,-3.63634e-11,10
183,89524.1,43281.1,2.18456,3.14913e-11,-2.68132e-11,0,-1.69894e-11,10
184,89523.5,43281.9,2.18456,2.38742e-12,-2.33218e-11,0,6.98286e-12,10
185,89522.9,43282.7,2.18456,-1.48361e-11,-1.02838e-11,0,2.60762e-11,10
186,89522.3,43283.5,2.18456,-2.78675e-11,1.82077e-12,0,2.42094e-11,10
187,89521.8,43284.4,2.18456,-2.48122e-11,1.18754e-11,0,2.01091e-11,10
188,89521.2,43285.2,2.18456,-1.75646e-11,1.46749e-11,0,5.59925e-12,10
189,89520.6,43286,2.18456,1.5774e-12,1.28959e-11,0,-3.55822e-12,10
190,89520,43286.8,2.18456,2.07194e-11,4.52749e-12,0,-1.6737e-11,10
191,89519.5,43287.6,2.18456,2.37748e-11,-6.4766e-12,0,-2.20085e-11,10
192,89518.9,43288.4,2.18456,1.07576e-11,-1.21005e-11,0,-1.12479e-11,10
193,89518.3,43289.3,2.18456,-2.27374e-12,-9.14335e-12,0,5.91456e-12,10
194,89517.7,43290.1,2.18456,-1.53051e-11,-2.74802e-12,0,1.2791e-11,10
195,89517.1,43290.9,2.18456,-1.22355e-11,5.02265e-12,0,1.55417e-11,10
196,89516.6,43291.7,2.18456,-9.18021e-12,6.90337e-12,0,3.76126e-12,10
197,89516,43292.5,2.18456,-6.13909e-12,6.43352e-12,0,-9.3987e-13,10
198,89515.4,43293.4,2.18456,-3.08376e-12,5.02887e-12,0,-2.80895e-12,10
199,89514.8,43294.2,2.18456,-1.42109e-14,3.24496e-12,0,-3.56764e-12,10
200,89514.3,43295,2.18456,3.04112e-12,1.30385e-12,0,-3.88258e-12,10
201,89513.7,43295.8,2.18456,6.09646e-12,-6.95e-13,0,-3.99751e-12,10
202,89513.1,43296.6,2.18456,9.15179e-12,-2.71649e-12,0,-4.04317e-12,10
203,89512.5,43297.4,2.18456,1.22213e-11,-4.74731e-12,0,-4.06164e-12,10
204,89512,43298.3,2.18456,1.10845e-11,-6.78746e-12,0,-4.08029e-12,10
205,89511.4,43299.1,2.18456,-1.94689e-12,-7.14895e-12,0,-7.22622e-13,10
206,89510.8,43299.9,2.18456,-1.4964e-11,-2.081e-12,0,1.01362e-11,10
207,89510.2,43300.7,2.18456,-1.19229e-11,5.15321e-12,0,1.44684e-11,10
208,89509.7,43301.5,2.18456,-8.86757e-12,6.83054e-12,0,3.35447e-12,10
209,89509.1,43302.3,2.18456,-5.81224e-12,6.27942e-12,0,-1.10258e-12,10
210,89508.5,43303.2,2.18456,-2.74269e-12,4.83658e-12,0,-2.88551e-12,10
211,89507.9,43304,2.18456,3.12639e-13,3.0318e-12,0,-3.60973e-12,10
212,89507.4,43304.8,2.18456,3.36797e-12,1.08757e-12,0,-3.88827e-12,10
