step,x,y,yaw,e_y,e_yaw,t,delta,v_ref,delta_ref
147,89615.2,43150.5,-1.0124,-15.7741,-0.976531,43.0099,-1.396,5,0.322152
148,89615.4,43150,0.403243,-16.2222,0.452833,43.1291,1.396,5,0.322118
149,89615.9,43150.2,-1.0124,-16.0448,-0.941252,43.2076,-1.396,5,0.322064
150,89616.2,43149.8,0.403243,-16.4707,0.488576,43.3228,1.396,5,0.322029
151,89616.6,43150,-1.0124,-16.2565,-0.906229,43.4038,-1.396,5,0.321977
152,89616.9,43149.6,0.403243,-16.6585,0.524064,43.5154,1.396,5,0.321941
153,89617.4,43149.8,-1.0124,-16.4091,-0.871411,43.599,-1.396,5,0.321891
154,89617.6,43149.4,0.403243,-16.7858,0.559351,43.7071,1.396,5,0.321853
155,89618.1,43149.6,-1.0124,-16.5024,-0.836748,43.7933,-1.396,5,0.321805
156,89618.3,43149.1,0.403243,-16.8523,0.594493,43.8982,1.396,5,0.321766
157,89618.8,43149.3,-1.0124,-16.5363,-0.802189,43.9872,-1.396,5,0.321719
158,89619.1,43148.9,0.403243,-16.8578,0.629544,44.089,1.396,5,0.321679
159,89619.5,43149.1,-1.0124,-16.5104,-0.767686,44.1808,-1.396,5,0.321634
160,89619.8,43148.7,0.403243,-16.802,0.664558,44.2798,1.396,5,0.321592
161,89620.2,43148.9,-1.0124,-16.4246,-0.733188,44.3746,-1.396,5,0.321548
162,89620.5,43148.4,0.403243,-16.6846,0.699592,44.4708,1.396,5,0.321505
163,89621,43148.6,-1.0124,-16.2783,-0.698643,44.5687,-1.396,5,0.321462
164,89621.2,43148.2,0.403243,-16.5051,0.734701,44.6624,1.396,5,0.321418
165,89621.7,43148.4,-1.0124,-16.0673,-0.66479,44.7638,-1.396,5,0.3208
166,89622,43148,0.403243,-16.244,0.76531,44.8564,1.396,5,0.317952
167,89622.4,43148.2,-1.0124,-15.772,-0.637112,44.9625,-1.396,5,0.315349
168,89622.7,43147.8,0.403243,-15.9191,0.793665,45.055,1.396,5,0.312368
169,89623.1,43148,-1.0124,-15.4266,-0.60878,45.1662,-1.396,5,0.309769
170,89623.4,43147.5,0.403243,-15.542,0.822738,45.2586,1.396,5,0.306642
171,89623.9,43147.7,-1.0124,-15.0292,-0.579723,45.3756,-1.396,5,0.304046
172,89624.1,43147.3,0.403243,-15.1105,0.852613,45.4679,1.396,5,0.300758
173,89624.6,43147.5,-1.0124,-14.5775,-0.549858,45.5913,-1.396,5,0.298164
174,89624.9,43147.1,0.403243,-14.622,0.883382,45.6835,1.396,5,0.294698
175,89625.3,43147.3,-1.0124,-14.0691,-0.519094,45.8139,-1.396,5,0.292105
176,89625.6,43146.8,0.403243,-14.0736,0.915152,45.9062,1.396,5,0.288441
177,89626,43147,-1.0124,-13.5011,-0.487327,46.0445,-1.396,5,0.285848
