step,x,y,yaw,e_y,e_yaw,t,delta,v_ref,delta_ref
120,89612.8,43161.8,1.34814,-4.94565,-0.868086,35.1353,-0.248714,3,0
121,89612.9,43162.1,1.31004,-5.17458,-0.906182,35.3203,-0.248714,3,0
122,89613,43162.4,1.27195,-5.41072,-0.944278,35.4962,-0.248714,3,0
123,89613.1,43162.7,1.23385,-5.65374,-0.982374,35.6627,-0.248714,3,0
124,89613.2,43163,1.19575,-5.90329,-1.02047,35.8196,-0.248714,3,0
125,89613.3,43163.3,1.15766,-6.159,-1.05857,35.9667,-0.248714,3,0
126,89613.4,43163.5,1.11956,-6.42049,-1.09666,36.1036,-0.248714,3,0
127,89613.5,43163.8,1.08147,-6.6874,-1.13476,36.2303,-0.248714,3,0
128,89613.7,43164.1,1.04337,-6.95933,-1.17285,36.3466,-0.248714,3,0
129,89613.8,43164.3,1.00527,-7.23589,-1.21095,36.4522,-0.248714,3,0
130,89614,43164.6,0.967179,-7.51667,-1.24905,36.5471,-0.248714,3,0
131,89614.1,43164.8,0.929083,-7.80128,-1.28714,36.6311,-0.248714,3,0
132,89614.3,43165.1,0.890987,-8.08929,-1.32524,36.704,-0.248714,3,0
133,89614.5,43165.3,0.852891,-8.38029,-1.36333,36.7658,-0.248714,3,0
134,89614.7,43165.5,0.814795,-8.67385,-1.40143,36.8164,-0.248714,3,0
135,89614.9,43165.7,0.776699,-8.96956,-1.43953,36.8556,-0.248714,3,0
136,89615.1,43166,0.738603,-9.26698,-1.47762,36.8835,-0.248714,3,0
137,89615.3,43166.2,0.700507,-9.56568,-1.51572,36.9001,-0.248714,3,0
138,89615.6,43166.3,0.662411,-9.86522,-1.55381,36.9051,-0.248714,3,0
139,89615.8,43166.5,0.624316,-10.1652,-1.59191,36.8988,-0.248714,3,0
140,89616.1,43166.7,0.58622,-10.4651,-1.63,36.8811,-0.248714,3,0
141,89616.3,43166.9,0.548124,-10.7646,-1.6681,36.8519,-0.248714,3,0
142,89616.6,43167,0.510028,-11.0632,-1.7062,36.8114,-0.248714,3,0
143,89616.8,43167.2,0.471932,-11.3604,-1.74429,36.7596,-0.248714,3,0
144,89617.1,43167.3,0.433836,-11.6559,-1.78239,36.6966,-0.248714,3,0
145,89617.4,43167.4,0.39574,-11.9492,-1.82048,36.6225,-0.248714,3,0
146,89617.6,43167.6,0.357644,-12.2399,-1.85858,36.5374,-0.248714,3,0
147,89617.9,43167.7,0.319548,-12.5276,-1.89668,36.4413,-0.248714,3,0
148,89618.2,43167.8,0.281452,-12.8118,-1.93477,36.3345,-0.248714,3,0
149,89618.5,43167.8,0.243356,-13.0921,-1.97287,36.2171,-0.248714,3,0
150,89618.8,43167.9,0.20526,-13.3682,-2.01096,36.0893,-0.248714,3,0
151,89619.1,43168,0.167164,-13.6396,-2.04906,35.9512,-0.248714,3,0
152,89619.4,43168,0.129068,-13.906,-2.08716,35.8031,-0.248714,3,0
153,89619.7,43168.1,0.0909724,-14.1669,-2.12525,35.6452,-0.248714,3,0
154,89620,43168.1,0.0528765,-14.4219,-2.16335,35.4776,-0.248714,3,0
155,89620.3,43168.1,0.0147806,-14.6708,-2.20144,35.3007,-0.248714,3,0
156,89620.6,43168.1,-0.0233154,-14.9131,-2.23954,35.1147,-0.248714,3,0
157,89620.9,43168.1,-0.0614113,-15.1484,-2.27764,34.9199,-0.248714,3,0
158,89621.2,43168.1,-0.0995072,-15.3766,-2.31573,34.7165,-0.248714,3,0
159,89621.5,43168,-0.137603,-15.5971,-2.35383,34.5049,-0.248714,3,0
160,89621.8,43168,-0.175699,-15.8097,-2.39192,34.2853,-0.248714,3,0
161,89622.1,43168,-0.203952,-16.0142,-2.42018,34.06,-0.186172,3,0
162,89622.3,43167.9,-0.232205,-16.2123,-2.44843,33.8293,-0.186172,3,0
163,89622.6,43167.8,-0.260458,-16.404,-2.47668,33.5932,-0.186172,3,0
164,89622.9,43167.7,-0.288711,-16.5891,-2.50494,33.352,-0.186172,3,0
165,89623.2,43167.7,-0.316964,-16.7674,-2.53319,33.1058,-0.186172,3,0
166,89623.5,43167.6,-0.345217,-16.9389,-2.56144,32.8549,-0.186172,3,0
167,89623.8,43167.5,-0.37347,-17.1033,-2.58969,32.5994,-0.186172,3,0
168,89624.1,43167.4,-0.401723,-17.2606,-2.61795,32.3396,-0.186172,3,0
169,89624.3,43167.2,-0.429976,-17.4106,-2.6462,32.0757,-0.186172,3,0
170,89624.6,43167.1,-0.458229,-17.5533,-2.67445,31.8078,-0.186172,3,0
171,89624.9,43167,-0.486482,-17.6884,-2.70271,31.5362,-0.186172,3,0
172,89625.1,43166.8,-0.514735,-17.8158,-2.73096,31.2612,-0.186172,3,0
173,89625.4,43166.7,-0.534113,-17.9356,-2.75034,30.9839,-0.128479,3,0
174,89625.7,43166.5,-0.553492,-18.05,-2.76972,30.7044,-0.128479,3,0
175,89625.9,43166.4,-0.572871,-18.159,-2.7891,30.4228,-0.128479,3,0
176,89626.2,43166.2,-0.592249,-18.2626,-2.80847,30.1393,-0.128479,3,0
177,89626.4,43166.1,-0.611628,-18.3607,-2.82785,29.8539,-0.128479,3,0
178,89626.7,43165.9,-0.631007,-18.4533,-2.84723,29.5668,-0.128479,3,0
179,89626.9,43165.7,-0.650385,-18.5403,-2.86661,29.2781,-0.128479,3,0
180,89627.2,43165.5,-0.669764,-18.6218,-2.88599,28.9879,-0.128479,3,0
181,89627.4,43165.3,-0.689142,-18.6976,-2.90537,28.6962,-0.128479,3,0
182,89627.6,43165.1,-0.708521,-18.7678,-2.92475,28.4032,-0.128479,3,0
183,89627.8,43165,-0.7279,-18.8324,-2.94412,28.1091,-0.128479,3,0
184,89628.1,43164.8,-0.73819,-18.8912,-2.95441,27.8143,-0.0684943,3,0
185,89628.3,43164.6,-0.74848,-18.9471,-2.9647,27.519,-0.0684943,3,0
186,89628.5,43164.3,-0.75877,-18.9998,-2.97499,27.2231,-0.0684943,3,0
187,89628.7,43164.1,-0.769061,-19.0496,-2.98529,26.9268,-0.0684943,3,0
188,89628.9,43163.9,-0.779351,-19.0963,-2.99558,26.63,-0.0684943,3,0
189,89629.2,43163.7,-0.789641,-19.1399,-3.00587,26.3327,-0.0684943,3,0
190,89629.4,43163.5,-0.799931,-19.1805,-3.01616,26.0351,-0.0684943,3,0
191,89629.6,43163.3,-0.810222,-19.2181,-3.02645,25.7371,-0.0684943,3,0
192,89629.8,43163.1,-0.820512,-19.2525,-3.03674,25.4387,-0.0684943,3,0
193,89630,43162.9,-0.830802,-19.2839,-3.04703,25.1401,-0.0684943,3,0
194,89630.2,43162.6,-0.83489,-19.3123,-3.05111,24.8413,-0.0272435,3,0
195,89630.4,43162.4,-0.838977,-19.3394,-3.0552,24.5424,-0.0272435,3,0
196,89630.6,43162.2,-0.843065,-19.3653,-3.05929,24.2434,-0.0272435,3,0
197,89630.8,43162,-0.847152,-19.3899,-3.06338,23.9443,-0.0272435,3,0
198,89631,43161.7,-0.85124,-19.4134,-3.06746,23.6452,-0.0272435,3,0
199,89631.2,43161.5,-0.855327,-19.4356,-3.07155,23.3459,-0.0272435,3,0
