s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
81.8377108,89624.0003229,43158.7910280,-0.9779495,-0.0225290,18.415839,0.0
82.5374150,89624.3866787,43158.2076627,-0.9931858,-0.0210219,18.415839,0.0
83.2371193,89624.7644124,43157.6186776,-1.0069017,-0.0181829,18.415839,0.0
83.9368231,89625.1346220,43157.0249350,-1.0188956,-0.0161000,18.415839,0.0
84.6365287,89625.4981204,43156.4270581,-1.0291695,-0.0132663,18.415839,0.0
85.3362362,89625.8560545,43155.8258312,-1.0366291,-0.0080555,18.415839,0.0
86.0359452,89626.2105948,43155.2225951,-1.0402453,-0.0022809,18.415839,0.0
86.7356546,89626.5641722,43154.6187935,-1.0398665,0.0033635,18.415839,0.0
87.4353634,89626.9191693,43154.0158263,-1.0360858,0.0074430,18.415839,0.0
88.1350716,89627.2773015,43153.4147165,-1.0303703,0.0088939,18.415839,0.0
88.8347798,89627.6391674,43152.8158471,-1.0244843,0.0079304,18.415839,0.0
89.5344884,89628.0043511,43152.2189946,-1.0196664,0.0058408,18.415839,0.0
90.2341976,89628.3719713,43151.6236389,-1.0164108,0.0034648,18.415839,0.0
90.9339070,89628.7410339,43151.0291761,-1.0145240,0.0019284,18.415839,0.0
91.6336164,89629.1108982,43150.4352118,-1.0131578,0.0019767,18.415839,0.0
92.3333257,89629.4815837,43149.8417596,-1.0113840,0.0030933,18.415839,0.0
93.0330349,89629.8535527,43149.2491113,-1.0083782,0.0054982,18.415839,0.0
93.7327439,89630.2277988,43148.6578986,-1.0037875,0.0076235,18.415839,0.0
94.4324519,89630.6051927,43148.0686914,-0.9979166,0.0091576,18.415839,0.0
95.1321596,89630.9863541,43147.4819147,-0.9910933,0.0103457,18.415839,0.0
95.8318672,89631.3717531,43146.8979127,-0.9835942,0.0110892,18.415839,0.0
96.5315747,89631.7616717,43146.3169187,-0.9750162,0.0134298,18.415839,0.0
97.2312810,89632.1570320,43145.7396154,-0.9644021,0.0169090,18.415839,0.0
97.9309843,89632.5591929,43145.1670324,-0.9510129,0.0213622,18.415839,0.0
98.6306827,89632.9698643,43144.6005282,-0.9343167,0.0263615,18.415839,0.0
99.3303792,89633.3909132,43144.0416964,-0.9147374,0.0296036,18.415839,0.0
100.0300751,89633.8234459,43143.4917058,-0.8931262,0.0321700,18.415839,0.0
100.7297673,89634.2682456,43142.9515923,-0.8702951,0.0330902,18.415839,0.0
101.4294576,89634.7254288,43142.4219226,-0.8461454,0.0359396,18.415839,0.0
102.1291452,89635.1957837,43141.9039177,-0.8201103,0.0384798,18.415839,0.0
102.8288221,89635.6799055,43141.3987705,-0.7918695,0.0422448,18.415839,0.0
103.5285002,89636.1787457,43140.9081505,-0.7590307,0.0516238,18.415839,0.0
104.2281755,89636.6949757,43140.4358666,-0.7203977,0.0588103,18.415839,0.0
104.9278131,89637.2301675,43139.9852420,-0.6762583,0.0673672,18.415839,0.0
105.6274214,89637.7859726,43139.5603509,-0.6247024,0.0800177,18.415839,0.0
106.3270073,89638.3646615,43139.1672356,-0.5644782,0.0921531,18.415839,0.0
107.0265747,89638.9674581,43138.8122276,-0.4955354,0.1049485,18.415839,0.0
107.7261238,89639.5946550,43138.5024002,-0.4249054,0.0969772,18.415839,0.0
108.4256839,89640.2414221,43138.2357982,-0.3483003,0.1220790,18.415839,0.0
109.1249836,89640.9083210,43138.0254034,-0.2543016,0.1466820,18.415839,0.0
109.8244278,89641.5934010,43137.8843796,-0.1852040,0.0509078,18.415839,-20.18899193212
110.5241365,89642.2833285,43137.7677944,-0.1303520,0.1060887,17.632081705464245,-29.512736000000032
111.2225785,89642.9787370,43137.7027685,0.1106019,0.5916197,16.421462522888707,1.000000000000012
111.9117306,89643.6335030,43137.9177383,0.5013488,0.5263123,16.46337557926753,0.9999999999999611
112.6113368,89644.1763134,43138.3591064,0.6750102,-0.0219487,16.50581558117533,0.9999999999999779
113.3109370,89644.7258320,43138.7920840,0.7108018,0.1243042,16.548146367224223,0.9999999999999774
114.0103384,89645.2355296,43139.2710108,0.8076495,0.1527019,16.590357177711002,1.0000000000000182
114.7092970,89645.6910002,43139.8011896,0.9750551,0.3273427,16.632434227891057,1.0000000000000184
115.4058542,89646.0134840,43140.4186005,1.2862493,0.5691982,16.674261089212088,0.9999999999999859
116.0973651,89646.0730860,43141.1075379,1.6695606,0.5298801,16.715681392131746,1.0000000000000393
116.7958316,89645.8787437,43141.7784228,1.8205337,-0.0922274,16.757414402046305,0.9999999999999926
117.4946544,89645.7279259,43142.4607771,1.8821057,0.2698370,16.79906494945547,1.0000000000000224
118.1897532,89645.4536643,43143.0994812,2.0868552,0.3158516,16.84039134912258,1.0000000000000033
118.8892158,89645.0439391,43143.6663791,2.1979200,0.0036935,16.881875075015586,0.9999999999999719
119.5888760,89644.6326344,43144.2323762,2.1899719,-0.0264103,16.923268782183882,0.9999999999999778
120.2885845,89644.2318306,43144.8059163,2.1852047,0.0127822,16.964564338612092,1.000000000000029
120.9882933,89643.8259130,43145.3758491,2.1821410,-0.0215401,17.00575963981362,1.0000000000000406
